0	128	128	255
1	127	129	254
2	127	131	253
3	126	132	252
4	126	134	251
5	125	136	250
6	125	137	249
7	124	139	247
8	124	140	246
9	123	142	245
10	122	143	244
11	122	145	243
12	121	146	241
13	121	148	240
14	120	149	239
15	119	151	238
16	119	153	236
17	118	154	235
18	117	156	234
19	117	157	232
20	116	159	231
21	115	161	230
22	115	162	228
23	114	164	227
24	113	166	226
25	113	167	224
26	112	169	223
27	111	170	221
28	110	172	220
29	110	174	218
30	109	175	217
31	108	177	215
32	107	179	213
33	106	180	212
34	106	182	210
35	105	184	208
36	104	185	207
37	103	187	205
38	102	189	203
39	101	190	202
40	100	192	200
41	100	193	198
42	99	195	196
43	98	197	194
44	97	198	192
45	96	200	191
46	95	201	189
47	94	203	187
48	93	205	185
49	92	206	183
50	91	208	181
51	90	209	179
52	89	211	177
53	88	212	175
54	87	214	173
55	86	215	171
56	85	217	168
57	84	218	166
58	83	220	164
59	82	221	162
60	80	223	160
61	79	224	158
62	78	225	155
63	77	227	153
64	76	228	151
65	75	229	149
66	74	231	146
67	73	232	144
68	71	233	142
69	70	234	139
70	69	236	137
71	68	237	134
72	67	238	132
73	65	239	130
74	64	240	127
75	63	241	125
76	62	242	122
77	61	243	120
78	59	244	117
79	58	245	115
80	57	246	112
81	56	247	110
82	54	248	107
83	53	249	105
84	52	250	102
85	51	250	100
86	49	251	97
87	48	252	95
88	47	252	92
89	45	253	90
90	44	254	87
91	43	254	85
92	42	255	82
93	40	255	80
94	39	255	77
95	38	255	75
96	37	255	72
97	35	255	70
98	34	255	67
99	33	255	65
100	32	255	62
101	30	255	60
102	29	255	57
103	28	255	55
104	27	255	52
105	26	255	50
106	24	255	48
107	23	255	45
108	22	255	43
109	21	255	40
110	20	255	38
111	18	255	36
112	17	255	33
113	16	255	31
114	15	255	29
115	14	255	27
116	13	255	24
117	12	255	22
118	11	255	20
119	9	255	18
120	8	255	16
121	7	255	13
122	6	255	11
123	5	255	9
124	4	255	7
125	3	255	5
126	2	255	3
127	1	255	1
128	1	255	0
129	3	255	0
130	5	255	0
131	7	255	0
132	9	255	0
133	11	255	0
134	13	255	0
135	15	255	0
136	17	255	0
137	20	255	0
138	22	255	0
139	24	255	0
140	26	255	0
141	28	255	0
142	30	255	0
143	32	255	0
144	34	255	0
145	37	255	0
146	39	255	0
147	41	255	0
148	43	255	0
149	45	255	0
150	48	255	0
151	50	255	0
152	52	255	0
153	54	255	0
154	56	255	0
155	59	255	0
156	61	255	0
157	63	255	0
158	65	255	0
159	67	255	0
160	70	255	0
161	72	255	0
162	74	255	0
163	76	255	0
164	79	255	0
165	81	255	0
166	83	255	0
167	85	255	0
168	87	255	0
169	90	255	0
170	92	255	0
171	94	255	0
172	96	255	0
173	98	255	0
174	101	255	0
175	103	255	0
176	105	255	0
177	107	255	0
178	109	255	0
179	111	255	0
180	114	255	0
181	116	255	0
182	118	255	0
183	120	255	0
184	122	255	0
185	124	255	0
186	127	255	0
187	129	255	0
188	131	255	0
189	133	255	0
190	135	255	0
191	137	255	0
192	139	255	0
193	141	255	0
194	143	255	0
195	145	255	0
196	148	255	0
197	150	255	0
198	152	255	0
199	154	255	0
200	156	255	0
201	158	255	0
202	160	255	0
203	162	255	0
204	164	255	0
205	166	255	0
206	168	255	0
207	170	255	0
208	172	255	0
209	174	255	0
210	176	255	0
211	178	255	0
212	180	255	0
213	181	255	0
214	183	255	0
215	185	255	0
216	187	255	0
217	189	255	0
218	191	255	0
219	193	255	0
220	195	255	0
221	197	255	0
222	198	255	0
223	200	255	0
224	202	255	0
225	204	255	0
226	206	255	0
227	208	255	0
228	209	255	0
229	211	255	0
230	213	255	0
231	215	255	0
232	217	255	0
233	218	255	0
234	220	255	0
235	222	255	0
236	224	255	0
237	225	255	0
238	227	255	0
239	229	255	0
240	230	255	0
241	232	255	0
242	234	255	0
243	235	255	0
244	237	255	0
245	239	255	0
246	240	255	0
247	242	255	0
248	244	255	0
249	245	255	0
250	247	255	0
251	249	255	0
252	250	255	0
253	252	255	0
254	253	255	0
255	255	255	0
